month,year,county,num_retailers,num_returns,gross_sales,retail_sales,state_net_taxable_sales,state_sales_tax
2,2015,Clear Creek,,1342,17382,14078,7387,208
12,2015,Ouray,,940,13116,10412,3854,108
9,2018,Kit Carson,,1578,43001000,40285000,9102000,255000
8,2019,Bent,,1010,6084000,4433000,2304000,65000
3,2016,Larimer,,12967,1183898000,889127000,432980000,12227000
3,2018,Boulder,,16311,1686629000,1232047000,454947000,12826000
2,2018,Delta,,2499,41526000,37344000,18241000,513000
9,2019,Elbert,,4603,56570000,44605000,20283000,569000
8,2020,Eagle,,16347,301554000,262498000,176166000,
11,2020,La Plata,,8822,201575000,165566000,92192000,
9,2019,Pueblo,,10404,612269000,459041000,204535000,5749000
2,2020,Gunnison,,4303,62934000,56985000,30853000,
11,2020,Crowley,,1405,6830000,5503000,1909000,
12,2017,Crowley,,670,3098000,2828000,1130000,32000
5,2017,Gilpin,,839,9554000,8752000,5897000,224000
3,2017,Summit,,6113,260661000,254620000,176830000,4964000
7,2016,Denver,,11340,3131141000,2162363000,1395024000,39409000
6,2017,Rio Blanco,,1106,38068000,18279000,8236000,231000
7,2018,Boulder,,11732,1125562000,869339000,486610000,13699000
6,2019,Clear Creek,,2916,35548000,26632000,13403000,377000
11,2016,Teller,,1739,32306000,30916000,17969000,514000
9,2016,Washington,,846,7210000,6748000,1955000,55000
10,2015,Dolores,,376,5709,2148,971,27
2,2018,Gilpin,,892,9652000,8863000,5815000,217000
5,2020,Otero,,4202,54459000,46366000,17999000,
11,2020,Fremont,,7351,94894000,82104000,40670000,
4,2019,Sedgwick,,768,6526000,5668000,1391000,39000
10,2019,San Miguel,,3240,32613000,29104000,20484000,576000
3,2020,Elbert,,4652,52088000,42088000,20595000,
11,2020,Boulder,,33401,1357964000,1049309000,495994000,
2,2020,Total 2,,437657,22028507000,17245262000,8594171000,
3,2015,Crowley,,501,2560,2379,1127,32
12,2016,Clear Creek,,1954,29560000,23008000,11529000,324000
10,2016,Washington,,754,4766000,4266000,1601000,45000
5,2019,Cheyenne,,758,10206000,6737000,3012000,85000
6,2019,Kit Carson,,2477,68861000,46400000,10507000,296000
